Order ID,Order-status,Brand,Kitchen,Order-relay-time(ordered time),Order-acceptance-time <placed_time>,Order-delivery-time,Total-bill-amount <bill>,Tax Restaurant,Item-SGST,Item-CGST,Item-IGST,PackagingCharge-SGST,PackagingCharge-CGST,PackagingCharge-IGST,ServiceCharge-SGST,ServiceCharge-CGST,ServiceCharge-IGST,Item-GST-Inclusive,Packaging_GST_Inclusive,ServiceCharge-GST-inclusive,Restaurant Discount,Packing-charge,Cancelled reason,Food-prepared <Yes/No>,Order-Cancellation-time,Edited-status,Item-count,MOU type,Cancellation-responsible-entity,Restaurant-bear,Item1-name_reward_type_quantity_price+Variants+Addons,,,,
20016742531,delivered,Warmoven,Domlur,14/09/18 21:42,14/09/18 21:46,14/09/18 22:21,271,12.9,6.45,6.45,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,,,,unedited,2,NEW_MOU,,,Red Velvet In A Jar_NA_1_12,Punchy Pineapple Cake in Jar_NA_1_12,,,
20015842638,delivered,Warmoven,Domlur,14/09/18 21:27,14/09/18 21:28,14/09/18 22:43,471,22.45,10.725,10.725,0,0.5,0.5,0,0,0,0,FALSE,FALSE,FALSE,0,20,,,,unedited,1,NEW_MOU,,,Black forest Cake (500 gm)_NA_1_44,,,,
20007568816,delivered,Warmoven,Domlur,14/09/18 19:09,14/09/18 19:10,14/09/18 19:29,147,7,3,3,0,0.5,0.5,0,0,0,0,FALSE,FALSE,FALSE,0,20,,,,unedited,1,NEW_MOU,,,Red Velvet Shots _NA_1_140+Box of,,,,
20004055471,delivered,Warmoven,Domlur,14/09/18 18:11,14/09/18 18:12,14/09/18 18:36,406,19.35,9.675,9.675,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,,,,unedited,3,NEW_MOU,,,Red Velvet In A Jar_NA_1_12,Death By Chocolate In A Jar_NA_1_12,Butterscotch Cake in Jar_NA_1_12,,
